color,turn,depth,score,elapsed,time_remaining,nodes,successor_calls,evaluation_calls,cutoffs,tt_hits,tt_stores,successor_time,evaluation_time,other_time,tt_entries,tt_memory_bytes
RED,0,4,0.0,2.000171,179.994071,99143,9206,89337,8480,600,9200,1.234048,0.469985,0.296138,8634,1607360
BLUE,0,4,-69.0,2.000090,179.993595,97568,8433,88653,7605,482,8427,1.118490,0.593466,0.288134,7774,1476640
RED,1,4,0.0,2.000089,177.989675,95739,7810,87358,6677,571,7804,1.008885,0.701176,0.290028,6452,1275696
BLUE,1,4,-69.0,2.000070,177.990730,89432,7802,81100,7146,530,7796,0.975843,0.758285,0.265942,7192,1388176
RED,2,4,0.0,2.000419,175.986957,69251,6601,62248,6157,402,6595,1.121451,0.638626,0.240341,6253,1245448
BLUE,2,4,-42.0,2.000102,175.987785,57020,4632,52142,4163,246,4627,1.158115,0.608391,0.233596,4337,806768
RED,3,3,6.0,2.000082,173.984066,39977,5181,34655,4647,141,5176,1.326775,0.435520,0.237787,4982,904808
BLUE,3,4,-40.0,2.000304,173.985587,35264,4784,30269,4005,211,4779,1.352732,0.418634,0.228938,4311,802816
RED,4,4,-26.0,2.000116,171.981751,34897,4820,29985,3752,92,4814,1.338392,0.426201,0.235524,3908,741560
BLUE,4,4,-32.0,2.000122,171.982975,31461,4656,26602,3739,203,4650,1.355942,0.411053,0.233128,3981,752656
RED,5,4,-25.0,2.000127,169.979356,31365,4950,25896,4022,519,4944,1.386371,0.376852,0.236905,4116,773176
BLUE,5,5,9.0,2.000348,169.980655,40199,4799,35010,3538,390,4792,1.276787,0.481782,0.241779,3591,693376
RED,6,4,-18.0,2.000161,167.976901,34028,5312,28215,4273,501,5306,1.348737,0.404344,0.247080,4420,819384
BLUE,6,5,21.0,2.000191,167.978469,43953,6159,37401,4527,393,6153,1.228044,0.509416,0.262730,4660,855864
RED,7,5,-6.0,2.000259,165.974598,39794,6957,32365,5404,472,6950,1.267407,0.429389,0.303464,5610,1147712
BLUE,7,5,19.0,2.000169,165.976043,41747,8929,31684,7391,1134,8922,1.290604,0.391748,0.317818,7465,1429672
RED,8,5,-4.0,2.000201,163.971694,40648,7846,32129,6199,673,7839,1.253022,0.439320,0.307859,6523,1286488
BLUE,8,5,16.0,2.000331,163.972870,44650,7819,35888,6050,943,7812,1.191877,0.487455,0.320999,6495,1282232
RED,9,5,-6.0,2.000198,161.968277,45027,8553,35069,6661,1405,8547,1.230097,0.438994,0.331107,7193,1388328
BLUE,9,6,3.0,2.000233,161.969169,43345,9414,31719,7837,2212,9406,1.275643,0.373168,0.351422,7667,1460376
RED,10,5,-7.0,2.000198,159.964768,49954,8229,40734,6464,991,8222,1.180393,0.487307,0.332498,6702,1313696
BLUE,10,5,22.0,2.000238,159.965035,53241,7893,44672,6267,676,7886,1.155227,0.530654,0.314357,6710,1314912
RED,11,5,-10.0,2.000153,157.961600,54123,7887,45738,6201,498,7880,1.168101,0.517187,0.314864,6687,1311416
BLUE,11,5,32.0,2.000160,157.962058,48279,8901,38897,7211,481,8894,1.286858,0.402332,0.310970,7570,1445632
RED,12,5,-10.0,2.000104,155.958313,51149,8541,41880,6841,728,8533,1.239406,0.448465,0.312233,7382,1417056
BLUE,12,5,30.0,2.000239,155.958834,49293,8676,40204,6852,413,8669,1.272810,0.423660,0.303769,7469,1430280
RED,13,4,-35.0,2.000158,153.955144,45665,8737,36459,7127,469,8732,1.298071,0.399314,0.302773,7564,1444720
BLUE,13,6,21.0,2.000215,153.955342,43624,11899,29483,9795,2242,11892,1.340650,0.293856,0.365710,9325,1712392
