mode,color,turn,depth,score,elapsed,time_remaining,tt_entries
abp,RED,0,3,69.0,2.000053,179.989994,0
abp,RED,1,3,69.0,2.000126,177.988984,0
abp,RED,2,3,69.0,2.000061,175.987695,0
abp,RED,3,3,12.0,2.000162,173.986735,0
abp,RED,4,3,10.0,2.000120,171.985674,0
abp,RED,5,4,-14.0,2.000281,169.984427,0
abp,RED,6,4,-2.0,2.000240,167.983115,0
abp,RED,7,5,37.0,2.000184,165.981780,0
abp,RED,8,5,34.0,2.000091,163.980657,0
abp,RED,9,5,34.0,2.000184,161.979605,0
abp,RED,10,5,32.0,2.000113,159.977857,0
abp,RED,11,5,46.0,2.000183,157.976837,0
abp,RED,12,5,42.0,2.000253,155.975573,0
abp,RED,13,5,36.0,2.000097,153.974354,0
abp,RED,14,5,42.0,2.000075,151.973248,0
abp,RED,15,4,32.0,2.000069,149.972188,0
abp,RED,16,5,28.0,2.000193,147.970952,0
abp,RED,17,5,32.0,2.000098,145.969586,0
abp,RED,18,5,26.0,2.000185,143.968363,0
abp,RED,19,4,6.0,2.000226,141.967047,0
abp,RED,20,4,-20.0,2.000103,139.965837,0
abp,RED,21,6,-2.0,2.000087,137.964603,0
abp,RED,22,5,10.0,2.000061,135.963489,0
abp,RED,23,6,8.0,2.000063,133.962181,0
abp,RED,24,5,18.0,2.000067,131.961126,0
abp,RED,25,5,26.0,2.000152,129.960190,0
abp,RED,26,6,16.0,2.000101,127.959078,0
abp,RED,27,5,23.0,2.000130,125.957945,0
abp,RED,28,6,17.0,2.000104,123.956676,0
abp,RED,29,6,19.0,2.000095,121.955364,0
abp,RED,30,6,23.0,2.000101,119.954092,0
abp,RED,31,5,27.0,2.000106,117.952940,0
abp,RED,32,6,23.0,2.000131,115.951433,0
abp,RED,33,6,27.0,2.000071,113.950140,0
abp,RED,34,6,27.0,2.000086,111.949133,0
abp,RED,35,5,35.0,2.000093,109.947875,0
abp,RED,36,6,27.0,2.000081,107.946598,0
abp,RED,37,6,27.0,2.000087,105.945625,0
abp,RED,38,6,29.0,2.000076,103.944555,0
abp,RED,39,6,29.0,2.000204,101.943638,0
abp,RED,40,6,29.0,2.000088,99.942269,0
abp,RED,41,8,31.0,2.000083,97.940919,0
abp,RED,42,7,33.0,2.000063,95.939838,0
abp,RED,43,7,33.0,2.000108,93.938823,0
abp,RED,44,7,33.0,2.000046,91.937721,0
abp,RED,45,8,27.0,2.000060,89.936664,0
abp,RED,46,10,29.0,2.000069,87.935577,0
abp,RED,47,9,32.0,2.000055,85.934594,0
abp,RED,48,9,32.0,2.000055,83.933320,0
abp,RED,49,9,32.0,2.000076,81.932409,0
abp,RED,50,9,41.0,2.000063,79.931433,0
abp,RED,51,7,100001.0,0.371346,77.930220,0
abp,RED,52,5,100001.0,0.033440,77.557978,0
abp,RED,53,3,100001.0,0.003407,77.523418,0
abp,RED,54,1,100001.0,0.000363,77.519077,0
