mode,color,turn,depth,score,elapsed,time_remaining,tt_entries
abp_tt,RED,0,4,0.0,2.000112,179.993387,9175
abp_tt,RED,1,4,0.0,2.000075,177.992248,6609
abp_tt,RED,2,4,0.0,2.000170,175.991251,6452
abp_tt,RED,3,3,6.0,2.000331,173.990115,4972
abp_tt,RED,4,4,-26.0,2.000185,171.988847,4097
abp_tt,RED,5,4,-25.0,2.000504,169.987258,4121
abp_tt,RED,6,4,-18.0,2.000123,167.985810,4435
abp_tt,RED,7,5,-6.0,2.000206,165.984590,5865
abp_tt,RED,8,5,-4.0,2.000156,163.983140,6733
abp_tt,RED,9,5,-6.0,2.000160,161.981688,7308
abp_tt,RED,10,5,-7.0,2.000096,159.980477,7145
abp_tt,RED,11,5,-10.0,2.000211,157.979467,6928
abp_tt,RED,12,5,-10.0,2.000126,155.978246,7709
abp_tt,RED,13,4,-35.0,2.000095,153.976957,7527
abp_tt,RED,14,6,-31.0,2.000146,151.975519,9993
abp_tt,RED,15,7,-15.0,2.000211,149.974245,10543
abp_tt,RED,16,6,-27.0,2.000182,147.972930,12536
abp_tt,RED,17,6,-35.0,2.000156,145.971732,12171
abp_tt,RED,18,7,-21.0,2.000133,143.970661,11092
abp_tt,RED,19,7,-23.0,2.000218,141.969414,11107
abp_tt,RED,20,7,-28.0,2.000090,139.968134,12636
abp_tt,RED,21,7,-34.0,2.000151,137.967004,14032
abp_tt,RED,22,9,-54.0,2.000099,135.965797,15929
abp_tt,RED,23,8,-66.0,2.000096,133.964809,15733
abp_tt,RED,24,8,-66.0,2.000106,131.963789,13677
abp_tt,RED,25,7,-62.0,2.000092,129.962861,13674
abp_tt,RED,26,7,-62.0,2.000103,127.961874,12961
abp_tt,RED,27,7,-60.0,2.000102,125.960653,13315
abp_tt,RED,28,7,-62.0,2.000143,123.959707,13845
abp_tt,RED,29,7,-60.0,2.000095,121.958575,16151
abp_tt,RED,30,7,-60.0,2.000121,119.957283,17895
abp_tt,RED,31,8,-71.0,2.000544,117.956026,16475
abp_tt,RED,32,8,-77.0,2.000080,115.954322,19910
abp_tt,RED,33,9,-79.0,2.000145,113.953330,19442
abp_tt,RED,34,9,-79.0,2.000113,111.951907,19956
abp_tt,RED,35,8,-83.0,2.000140,109.950829,18626
abp_tt,RED,36,9,-81.0,2.000112,107.949665,20046
abp_tt,RED,37,9,-79.0,2.000175,105.948509,16233
abp_tt,RED,38,8,-82.0,2.000104,103.947191,27333
abp_tt,RED,39,9,-90.0,2.000122,101.946023,15920
abp_tt,RED,40,10,-104.0,2.000133,99.944706,18836
abp_tt,RED,41,9,-100.0,2.000099,97.943688,14723
abp_tt,RED,42,9,-100.0,2.000210,95.942353,20922
abp_tt,RED,43,9,-102.0,2.000126,93.941003,22128
abp_tt,RED,44,10,-102.0,2.000084,91.939795,20807
abp_tt,RED,45,10,-102.0,2.000096,89.938557,20002
abp_tt,RED,46,9,-100.0,2.000113,87.937434,16388
abp_tt,RED,47,9,-102.0,2.000082,85.936099,14591
abp_tt,RED,48,9,-102.0,2.000101,83.934962,18643
abp_tt,RED,49,8,-106.0,2.000142,81.933683,21430
abp_tt,RED,50,8,-106.0,2.000120,79.932589,21233
abp_tt,RED,51,8,-106.0,2.000111,77.931378,20839
abp_tt,RED,52,8,-107.0,2.000161,75.930388,23649
abp_tt,RED,53,8,-106.0,2.000068,73.929054,24210
abp_tt,RED,54,8,-107.0,2.000108,71.927952,23421
abp_tt,RED,55,8,-106.0,2.000078,69.926841,24840
abp_tt,RED,56,6,-100001.0,0.220219,67.925541,3462
abp_tt,RED,57,4,-100001.0,0.011425,67.704331,184
abp_tt,RED,58,2,-100001.0,0.001113,67.691972,17
