mode,color,turn,depth,score,elapsed,time_remaining,tt_entries
plain,RED,0,3,69.0,2.000158,179.986401,0
plain,RED,1,3,69.0,2.000068,177.984689,0
plain,RED,2,3,69.0,2.000069,175.983741,0
plain,RED,3,3,12.0,2.000098,173.982798,0
plain,RED,4,3,10.0,2.000387,171.981760,0
plain,RED,5,3,26.0,2.000109,169.980485,0
plain,RED,6,3,20.0,2.000073,167.979442,0
plain,RED,7,3,26.0,2.000066,165.978245,0
plain,RED,8,3,38.0,2.000104,163.977313,0
plain,RED,9,3,23.0,2.000084,161.976469,0
plain,RED,10,3,49.0,2.000164,159.975419,0
plain,RED,11,3,50.0,2.000058,157.974474,0
plain,RED,12,3,58.0,2.000080,155.973601,0
plain,RED,13,3,68.0,2.000084,153.972513,0
plain,RED,14,3,64.0,2.000099,151.971495,0
plain,RED,15,3,61.0,2.000141,149.970237,0
plain,RED,16,3,49.0,2.000138,147.968847,0
plain,RED,17,3,26.0,2.000097,145.967595,0
plain,RED,18,4,8.0,2.000071,143.966607,0
plain,RED,19,4,6.0,2.000081,141.965662,0
plain,RED,20,4,8.0,2.000087,139.964803,0
plain,RED,21,4,16.0,2.000151,137.963878,0
plain,RED,22,4,22.0,2.000123,135.962922,0
plain,RED,23,4,20.0,2.000072,133.961902,0
plain,RED,24,4,28.0,2.000082,131.960651,0
plain,RED,25,4,26.0,2.000094,129.959172,0
plain,RED,26,4,28.0,2.000146,127.958181,0
plain,RED,27,4,20.0,2.000179,125.956789,0
plain,RED,28,4,24.0,2.000075,123.955505,0
plain,RED,29,4,28.0,2.000172,121.954415,0
plain,RED,30,4,35.0,2.000053,119.952580,0
plain,RED,31,4,44.0,2.000053,117.951571,0
plain,RED,32,5,36.0,2.000084,115.950651,0
plain,RED,33,5,45.0,2.000125,113.949341,0
plain,RED,34,5,43.0,2.000098,111.948468,0
plain,RED,35,5,25.0,2.000102,109.947308,0
plain,RED,36,5,13.0,2.000171,107.946097,0
plain,RED,37,5,13.0,2.000077,105.945044,0
plain,RED,38,5,5.0,2.000103,103.944015,0
plain,RED,39,5,0.0,2.000062,101.943055,0
plain,RED,40,5,0.0,2.000077,99.942028,0
plain,RED,41,5,0.0,2.000062,97.940956,0
plain,RED,42,5,0.0,2.000127,95.939825,0
plain,RED,43,29994,0.0,2.000005,93.938753,0
plain,RED,44,6,-100001.0,1.318917,91.937734,0
plain,RED,45,4,-100001.0,0.042745,90.617935,0
plain,RED,46,2,-100001.0,0.001087,90.574380,0
